filename,pixel_number,retrieved_aod,truth_aod,latitude,longitude
ss450-g5nr.leV120.GRASP.example_20060908_2200Z.polarimeter07.20060908_2200z_RETRIEVED.nc4,7336,4.2672,0.4494227170944214,12.0693,-131.914
ss450-g5nr.leV120.GRASP.example_20060908_2200Z.polarimeter07.20060908_2200z_RETRIEVED.nc4,7337,4.0398,0.44912832975387573,12.0693,-131.914
ss450-g5nr.leV120.GRASP.example_20060903_2000Z.polarimeter07.20060903_2000z_RETRIEVED.nc4,7520,4.9912,0.42448514699935913,15.1666,-109.0185
ss450-g5nr.leV120.GRASP.example_20060903_2000Z.polarimeter07.20060903_2000z_RETRIEVED.nc4,7521,4.657,0.42410561442375183,15.1666,-109.0185
ss450-g5nr.leV120.GRASP.example_20060903_2000Z.polarimeter07.20060903_2000z_RETRIEVED.nc4,7522,4.3736,0.4235835671424866,15.1666,-109.0185
ss450-g5nr.leV120.GRASP.example_20060903_2000Z.polarimeter07.20060903_2000z_RETRIEVED.nc4,7544,4.6264,0.4128924012184143,15.3577,-109.0571
ss450-g5nr.leV120.GRASP.example_20060903_2000Z.polarimeter07.20060903_2000z_RETRIEVED.nc4,7545,4.3729,0.4124390482902527,15.3577,-109.0571
ss450-g5nr.leV120.GRASP.example_20060903_2000Z.polarimeter07.20060903_2000z_RETRIEVED.nc4,7546,4.1219,0.4118202328681946,15.3577,-109.0571
ss450-g5nr.leV120.GRASP.example_20060302_0900Z.polarimeter07.20060302_0900z_RETRIEVED.nc4,6560,4.0152,0.38924187421798706,-9.2204,64.4427
ss450-g5nr.leV120.GRASP.example_20060309_0000Z.polarimeter07.20060309_0000z_RETRIEVED.nc4,8184,4.8486,0.422908216714859,6.53,-163.1981
ss450-g5nr.leV120.GRASP.example_20060309_0000Z.polarimeter07.20060309_0000z_RETRIEVED.nc4,8185,4.481,0.4228331446647644,6.53,-163.1981
ss450-g5nr.leV120.GRASP.example_20060309_0000Z.polarimeter07.20060309_0000z_RETRIEVED.nc4,8186,4.2013,0.42275166511535645,6.53,-163.1981
ss450-g5nr.leV120.GRASP.example_20060310_0700Z.polarimeter07.20060310_0700z_RETRIEVED.nc4,8216,5.0015,0.4516580402851105,7.3211,89.0804
ss450-g5nr.leV120.GRASP.example_20060310_0700Z.polarimeter07.20060310_0700z_RETRIEVED.nc4,8217,4.6104,0.4491708278656006,7.3211,89.0804
ss450-g5nr.leV120.GRASP.example_20060310_0700Z.polarimeter07.20060310_0700z_RETRIEVED.nc4,8218,4.2926,0.44559478759765625,7.3211,89.0804
ss450-g5nr.leV120.GRASP.example_20060310_0700Z.polarimeter07.20060310_0700z_RETRIEVED.nc4,8224,5.1631,0.46617984771728516,7.3848,89.068
ss450-g5nr.leV120.GRASP.example_20060310_0700Z.polarimeter07.20060310_0700z_RETRIEVED.nc4,8225,4.7369,0.4635099768638611,7.3848,89.068
ss450-g5nr.leV120.GRASP.example_20060310_0700Z.polarimeter07.20060310_0700z_RETRIEVED.nc4,8226,4.4254,0.45969098806381226,7.3848,89.068
ss450-g5nr.leV120.GRASP.example_20061206_0400Z.polarimeter07.20061206_0400z_RETRIEVED.nc4,3896,5.6613,5.7035932540893555,-41.5576,148.378
ss450-g5nr.leV120.GRASP.example_20061206_0400Z.polarimeter07.20061206_0400z_RETRIEVED.nc4,3897,5.3607,5.386965274810791,-41.5576,148.378
ss450-g5nr.leV120.GRASP.example_20061206_0400Z.polarimeter07.20061206_0400z_RETRIEVED.nc4,3898,4.9226,4.938621520996094,-41.5576,148.378
ss450-g5nr.leV120.GRASP.example_20061206_0400Z.polarimeter07.20061206_0400z_RETRIEVED.nc4,3904,5.3375,5.639454364776611,-41.4944,148.3595
ss450-g5nr.leV120.GRASP.example_20061206_0400Z.polarimeter07.20061206_0400z_RETRIEVED.nc4,3905,5.0575,5.312637805938721,-41.4944,148.3595
ss450-g5nr.leV120.GRASP.example_20061206_0400Z.polarimeter07.20061206_0400z_RETRIEVED.nc4,3906,4.6606,4.851102352142334,-41.4944,148.3595
ss450-g5nr.leV120.GRASP.example_20061212_0300Z.polarimeter07.20061212_0300z_RETRIEVED.nc4,5400,4.1925,5.503611087799072,-34.1054,155.5429
ss450-g5nr.leV120.GRASP.example_20061212_0300Z.polarimeter07.20061212_0300z_RETRIEVED.nc4,5408,4.5514,5.89284610748291,-34.042,155.527
ss450-g5nr.leV120.GRASP.example_20061212_0300Z.polarimeter07.20061212_0300z_RETRIEVED.nc4,5409,4.2126,5.488434314727783,-34.042,155.527
ss450-g5nr.leV120.GRASP.example_20061212_0300Z.polarimeter07.20061212_0300z_RETRIEVED.nc4,5416,4.3363,5.647276878356934,-33.9787,155.511
ss450-g5nr.leV120.GRASP.example_20061212_0300Z.polarimeter07.20061212_0300z_RETRIEVED.nc4,5417,4.0452,5.259940147399902,-33.9787,155.511
ss450-g5nr.leV120.GRASP.example_20061212_0300Z.polarimeter07.20061212_0300z_RETRIEVED.nc4,5424,4.1088,4.926444053649902,-33.9154,155.4952
